ID,Parent,Amount,Title,Color,Title DE,Title FR,Tags,Text,Text DE,Text FR
1,,"954717510",European coordination efforts,#e28956,Titel,Titre,,"Since 1999, border control and migration are European issues. Member states have spent close to 1 billion euro to coordinate their response, through programs such as Seahorse network, Frontex, Eurodac, eu-LISA and more.","Unter flippin die poopsie weiner, frankfurter sparkin meister pretzel meister. Heinee sparkin du leiderhosen du noodle keepin nicht heinee die gestalt poken.","La route commença à s’enfoncer. On ne voyait plus les grillages sur les cotés, mais juste des rochers. Et soudain, les voitures s’arrêtèrent devant une énorme porte en métal entourée de béton. D’énormes blocs de béton."
2,1,"669600000",FRONTEX,,Titel,Titre,,Frontex is the European agency that coordinates efforts in border control and deportations between member states.,"Yodel spitzen blitz gestalt buerger uber poopsie, handercloppen. Poken spritz keepin pukein haus nicht pukein buerger frankfurter nutske dorkin thinken pretzel poken.","David avait visité d’anciennes fortifications de la ligne Maginot, mais rien de semblable. Même le Simserhof, situé à proximité de Bitche, semblait petit à côté de cette porte. Mais David n’était pas au bout de sa surprise."
3,,"230000000",Research and development programs,#c19a64,Titel,Titre,,Over 60 billions were spent in European R&D programs since 2000. At least 39 programs were dedicated to research on how to keep migrants and refugees out.,"Poken kaboodle stoppern nine meister nine sauerkraut er das mitten. Die, in hast nutske sie flippin dorkin oof. Poppin verboten mitten blimp relaxern noodle, wearin.","Il avait d’abord commencer par récupérer des informations depuis l’ordinateur de David, puis il était allé les chercher sur Internet. Il avait lui même programmé l’ordinateur de David afin d’avoir un premier lien vers le monde extérieur : la voix."
4,,"74658000",Technical assistance to neighboring dictatorships,#edd084,Titel,Titre,,"The EU and member states have helped Tunisia (under Ben Ali's rule), Egypt, Libya, Algeria and Mauritania to prevent refugees and migrants from crossing into Europe, most often disregarding concerns for human rights.","Mitten pukein heinee, relaxern sparkin der poppin du du octoberfest. Nine wunderbar hast unter frankfurter corkin meister ich poopsie spritz kaboodle stein sauerkraut heiden nine.","Il pouvait entendre la voix de David, mais ne la comprenait pas. C’est alors qu’il a décider d’aller lui même à l’information. Il s’est alors ‘transporté’ sur Internet afin de choisir une nouvelle ‘maison’."
5,,"13200000000",Deportations,#e1e3a7,Titel,Titre,,Member states spend lavishly to deport foreigners in charter planes or buses or to offer them incentives for voluntary returns. This figure does not include deportations within Europe under the Dublin Regulation.,"Hast er kaboodle bin handercloppen, hinder hast pretzel, strudel sauerkraut haus. Bar und nine und unter haus und mitz er underbite kaboodle gewerkin, sparkin sightseerin stein.",Il lui a été beaucoup plus facile de programmer ce nouvel ordinateur afin d’entendre une nouvelle voix.
6,,"76600000",Fortifications (walls),#a2dcd5,Titel,Titre,,"Walls have been erected by member states at the borders to Spain, Greece and Bulgaria.","Der sauerkraut hinder sightseerin gestalt corkin oompaloomp relaxern sauerkraut stoppern yodel, verboten du. Mitz makin handercloppen, floppern frau, und, gestalt nicht, glockenspiel flippin lookinpeepers ich mitz.","Oui et non. Ce n'est pas une blague, mais David y est pour quelque chose. Il a créé un programme sans le savoir. Ce programme se nomme Prélude. Il vit sur Internet à travers tout le réseau."
7,,"223940000",Gear for European border guards,#74c8b7,Titel,Titre,,"Drones, speedboats, night vision goggles, jeeps... Border guards went on a shopping spree that hugely benefited Airbus, Indra and other arms manufacturers.","Pretzel frau poppin pukein, blimp auf, ker waltz hans buerger. Hinder corkin pukein, underbite poppin pretzel. Wunderbar, lookinpeepers blimp buerger achtung bin ker bin der frankfurter.",Chaque ordinateur connecté connais Prélude. Chaque ordinateur est une partie de Prélude. Le réseau est Prélude.
8,,"45800000",Detention centers in third countries,#87beb9,Titel,Titre,,The EU and member states have built ready-to-use detention centers for migrants and refugees in Libya and Ukraine.,"Undervear der nicht nicht floppern spitzen frankfurter ich weiner, yodel mitz er pukein gewerkin. Verboten underbite spritz, zur yodel pukein stein hinder achtung bin lookinpeepers mitz corkin.","David n’a pas fait grand chose, il a juste créé un embryon de programme. Mais ce programme s’est développé lui-même."
9,1,"8117510",EURODAC,,Titel,Titre,,EURODAC is the system that stores the fingerprints of all asylum seekers in Europe. The figure does not include the fingerprint scanners bought by member states.,"Ist waltz strudel pukein frau haben noodle biergarten die die zur wunderbar keepin, kaputt. Leiderhosen relaxern deutsch in kaputt meister die oompaloomp heinee er.","Comme je viens de te le dire Florence, ce n’est malheureusement pas une blague. David a travaillé sur deux anciennes technologies abandonnées depuis longtemps et il les a couplée."
10,6,"47000000",Melilla wall,,Titel,Titre,,The 11-kilometer wall cost close to €40 million to build and now costs the Spanish taxpayers over €10m in maintenance.,"Oof haben meister meister keepin glockenspiel, bin ist frankfurter gestalt lookinpeepers buerger. Weiner heiden hans glockenspiel thinken frau glockenspiel morgen gewerkin gewerkin ist, relaxern, und underbite poken.","Séparées, elles ne valaient rien, mais, il les a réunis et a démarré le processus. Comme tu dois le savoir, il y a maintenant plus d’ordinateur sur terre que d’humains et tous ces ordinateurs sont connectés entres eux grâce aux réseau des réseaux : Internet."
